sector,var,coef,se,t
5,d750_1500,-5.09586375584375,0.7108683507172487,-7.168505604029422
5,d1500_3000,-5.866451119119853,0.7233198502300191,-8.110452267076997
5,d3000_6000,-6.608304851461358,0.7320485129170543,-9.02714059909595
5,d6000_,-8.43393459223498,0.6267515885283316,-13.456582714115823
5,contig,0.6994026783402792,0.44655454832508307,1.5662200305955178
5,FTA,1.0413687679837862,0.4432121110218003,2.3495945667706817
5,CU,0.3942637195045282,0.478445122531987,0.8240521241350292
6,d0_375,-4.202037066788882,0.7337132226743356,-5.727083739165471
6,d375_750,-4.906862164891136,0.44193785092083293,-11.103059298195602
6,d750_1500,-5.1018484504475525,0.39939038012202416,-12.774089473283771
6,d1500_3000,-5.412530190059812,0.4063860624005739,-13.31869050352591
6,d3000_6000,-6.112428761844511,0.41129012643017165,-14.861598587104112
6,d6000_,-7.354029465251139,0.3521306792345552,-20.884375883512835
6,contig,0.7257472820260042,0.2508897612628602,2.8926939001932013
6,FTA,0.8448026476157617,0.24901186459782343,3.392620062422303
6,CU,1.1813771110651758,0.2688069867828231,4.394889899270529
7,d0_375,-2.183486247177411,2.4507425222337407,-0.8909488562622491
7,d375_750,-1.7252906374525123,1.4761569642816874,-1.1687718035405914
7,d750_1500,-2.269978285019791,1.3340402725310996,-1.7015815277547197
7,d1500_3000,-3.2522793968857173,1.3574071896074853,-2.3959497354851664
7,d3000_6000,-4.931842911133244,1.3737877016081892,-3.5899600100946523
7,d6000_,-6.455170258238673,1.1761838308401529,-5.4882324420560336
7,contig,0.6222286134979387,0.8380197975427197,0.7424987038760493
7,FTA,2.3978027861626505,0.8317472634420097,2.8828502257282484
7,CU,1.2499702276413636,0.8978667583241728,1.3921555910749783
8,d0_375,-2.3695387689029754,0.5687382920620945,-4.166307776308951
8,d375_750,-2.3854415447497423,0.34256841878106564,-6.963401802295938
8,d750_1500,-2.5366723418697656,0.30958771852126266,-8.193711152322555
8,d1500_3000,-2.861358060003626,0.3150104262876694,-9.083375727350106
8,d3000_6000,-3.6527993174033044,0.31881181477865284,-11.457540618246531
8,d6000_,-4.482632828099378,0.27295432997725555,-16.42264780512147
8,contig,0.5731718628461905,0.19447736514330222,2.947242021835519
8,FTA,0.5690205009885007,0.1930217122956552,2.9479611087322684
8,CU,0.4685620754324644,0.20836591440996582,2.2487462825160325
9,d0_375,-3.0267254050251218,0.5695124497214247,-5.314590412388062
9,d375_750,-3.3838814791687866,0.3430347175496652,-9.864545207960946
9,d750_1500,-3.437406388219192,0.3100091244769946,-11.088081339600306
9,d1500_3000,-3.7643869191101182,0.31543921354831833,-11.933795030634316
9,d3000_6000,-4.693122135491384,0.3192457764298034,-14.700655363324188
9,d6000_,-5.699729024343732,0.2733258711380117,-20.85323647049035
9,contig,1.057155870720586,0.19474208468811458,5.428492112599357
9,FTA,0.6228987682091477,0.19328445042860018,3.2227050175422582
9,CU,0.7101546527395464,0.2086495388306092,3.403576431175728
10,d0_375,-3.6343849211080386,0.6538315650394481,-5.558595080812231
10,d375_750,-4.769030038731558,0.3938226922836751,-12.109586705319586
10,d750_1500,-5.09468721792256,0.35590749795276555,-14.314638627250007
10,d1500_3000,-5.572904982839864,0.36214153838075597,-15.38874829923682
10,d3000_6000,-6.457430266195915,0.36651168159262054,-17.61862060749643
10,d6000_,-7.373367949446506,0.3137931087886695,-23.497545812620935
10,contig,0.9909863199816975,0.2235746067938586,4.432463660309204
10,FTA,0.6851598068191789,0.22190116262311294,3.0876801127125484
10,CU,0.14934315172436874,0.23954112782803352,0.6234551581120639
