key,country,num_nodes,num_edges,ave_deg,density,ave_clust,ave_dist,diameter,links_supported,info_total,info_total_friend_only,info_expostIC,info_SP,comp_total,comp_supp,comp_trans,comp_by_three
37,India,116,536,9.241379310344827,0.08035982008995503,0.3225465259094886,2.561769115442279,5,0.8805970149253731,0.4761619190404798,0.46656671664167915,0.3559220389805097,,0.46656671664167915,0.07076461769115443,0.28515742128935534,0.0004497751124437781
38,India,153,529,6.915032679738562,0.04549363605091159,0.2221245529100912,2.8746990024079806,6,0.7107750472589792,0.3089095287237702,0.2957516339869281,0.16563467492260062,,0.2957516339869281,0.03233574131406949,0.13329893360853112,0.0009459924320605435
39,India,274,1203,8.781021897810218,0.03216491537659421,0.22386706356320388,2.9157241784979013,6,0.7364921030756443,0.27242587096601695,0.2639501617603807,0.15534344001497286,,0.2639501617603807,0.023689206170957995,0.13165423384401487,0.0008823293494826342
40,India,231,968,8.380952380952381,0.03643892339544513,0.24996328683753127,3.0536420101637494,6,0.8026859504132231,0.2492377188029362,0.24204780726519856,0.15418784114436287,,0.24204780726519856,0.02924901185770751,0.12493882928665537,0.0007528703180877094
41,India,161,691,8.583850931677018,0.053649068322981365,0.24111651624297564,2.7472826086956523,6,0.8017366136034733,0.36482919254658386,0.3541925465838509,0.23649068322981368,,0.3541925465838509,0.04301242236024845,0.1934782608695652,0.0006987577639751553
42,India,173,715,8.265895953757225,0.048057534614867586,0.2722204267617416,3.0038311601021643,6,0.8335664335664336,0.2965452345745396,0.2885468476945826,0.20264820540395215,,0.2885468476945826,0.04005914773491061,0.16258905766904153,0.00047049334587982255
43,India,192,826,8.604166666666666,0.04504799301919721,0.2419400127392595,2.8101003490401397,6,0.7869249394673123,0.3295157068062827,0.31991710296684117,0.2006435427574171,,0.31991710296684117,0.03544938917975567,0.16519415357766143,0.0006544502617801048
44,India,219,1079,9.853881278538813,0.045201290268526664,0.26272368554239894,2.7540949268987474,5,0.8229842446709916,0.35184952452766954,0.34384818398894057,0.24071048552637092,,0.34384818398894057,0.03719994972979766,0.20351053579657324,0.0006702693645008588
45,India,211,846,8.018957345971565,0.03818551117129316,0.23877492983690474,2.990431053938163,6,0.7529550827423168,0.26937485894831864,0.25994132250056423,0.15842924847664183,,0.25994132250056423,0.028751974723538704,0.12967727375310314,0.00040622884224779957
46,India,251,1091,8.693227091633466,0.034772908366533864,0.2352754815474219,3.0250836653386455,6,0.7818515123739689,0.2577529880478088,0.25016733067729086,0.15891633466135457,,0.25016733067729086,0.027187250996015936,0.13172908366533864,0.0005099601593625498
47,India,131,652,9.954198473282442,0.07657075748678802,0.26700927063085955,2.4762184380504992,5,0.8374233128834356,0.5190839694656488,0.506635349383441,0.38790369935408103,,0.506635349383441,0.06412213740458016,0.32378156194950086,0.0021139166177334117
48,India,175,892,10.194285714285714,0.05858784893267652,0.25808185802222683,2.5726108374384236,6,0.8475336322869955,0.4459770114942529,0.43704433497536943,0.3314942528735632,,0.43704433497536943,0.0496551724137931,0.28183908045977013,0.0006568144499178982
49,India,170,896,10.541176470588235,0.062373825269752874,0.2829703840142566,2.589140271493213,5,0.8794642857142857,0.4504002784545771,0.4428820048729551,0.33762617473024714,,0.4428820048729551,0.054855551688130874,0.28277062304211625,0.0006265227984684998
50,India,223,1255,11.25560538116592,0.05070092514038702,0.3464992514836094,2.7440310265422374,6,0.900398406374502,0.3681977942067628,0.3631479012644932,0.2779461075425201,,0.3631479012644932,0.0456510321981174,0.2322950753444027,0.00032319314830525593
51,India,236,1604,13.59322033898305,0.0578434908041832,0.3787671198163237,2.58355571583123,5,0.9382793017456359,0.45546339704291383,0.45189325640100975,0.3829065993508835,,0.45189325640100975,0.05427335016227912,0.3286332491886044,0.00010818608005769924
52,India,316,2015,12.753164556962025,0.040486236688768336,0.3300141842603574,2.779766927868194,6,0.9086848635235732,0.344122965641953,0.34042595941330117,0.2773759292746634,,0.34042595941330117,0.036789230460116534,0.24058669881454692,0.0003013863773357444
53,India,148,869,11.743243243243244,0.07988600845743703,0.3814122322756984,2.495587424158853,5,0.9355581127733027,0.5058834344548631,0.5007354293068579,0.42691671263099834,,0.5007354293068579,0.07473800330943188,0.3521787093215665,0.0
54,India,96,551,11.479166666666666,0.12083333333333333,0.4534766697172367,2.3287280701754387,5,0.9473684210526315,0.5973684210526315,0.5910087719298246,0.5105263157894737,,0.5910087719298246,0.11447368421052631,0.3960526315789474,0.0002192982456140351
