country,netexports,gdp,pop,gascon,diecon,gasprice,dieprice,spotgasprice,spotdieprice,gas,die,Agas,Adie,predictgas,predictdie,COSTgas,COSTdie,AREAgas,AREAdie,DWLgas,DWLdie,DWLtot,DWLgasPC,DWLdiePC,DWLtotPC,EXPgas,EXPdie,EXPtot
Cyprus,-58.30942,28779.18555,1103647.0,112.2592071430349,85.1983231258157,6.70018018563663,6.73803431097921,3.574082506851597,3.7660825068515966,123.89453718578903,94.02887372283712,387.8859483269471,295.3800536555317,180.63641385095204,133.30525405036596,-387.3064251106411,-279.44928090067333,-461.26569078937786,-328.8279800417919,0.0,0.0,0.0,0.0,0.0,0.0,442.80929805020327,354.12049646653463,796.929794516738
Czech Republic,-172.12028999999998,18910.00501,10519792.0,53.390336525629735,92.28980538507167,7.305846191117907,7.078721439062429,3.574082506851597,3.7660825068515966,561.6552350596276,970.8695563714339,1852.1328137979897,3141.4762194611194,862.5283563459762,1417.7507260419757,-2095.964609273576,-3216.140290534271,-2551.5481242554956,-3832.872336991658,0.0,0.0,0.0,0.0,0.0,0.0,2007.4021505082367,3656.3748526852273,5663.777003193464
Denmark,80.43568999999998,56485.89444,5547683.0,84.2342253474355,134.20275354471673,7.646533319201126,7.154429689747587,2.817,3.009,467.304779978137,744.5143343932147,1583.7220905983331,2424.477040703119,850.7596155791806,1251.8859436736036,-2256.8640051263637,-3086.331826236295,-2941.679333095558,-3899.126634779011,0.0,0.0,0.0,0.0,0.0,0.0,1316.397565198412,2240.243632189183,3556.6411973875947
Djibouti,-8.0696,,888716.0,,,6.624471934951471,4.46678679042442,3.574082506851597,3.7660825068515966,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
Dominica,-0.91586,6963.872346,67757.0,,,,,3.574082506851597,3.7660825068515966,,,,,,,,,,,,,,,,,,,
Dominican Republic,-112.74874,5195.381237,9927320.0,26.816342755787556,14.423512684337885,5.9809518041276135,5.110306921248277,3.574082506851597,3.7660825068515966,266.21441576638495,143.18682594148117,778.562982445676,381.0406002732262,362.5726214437306,171.96392713152693,-640.7433038003843,-192.47522725050698,-740.8778162434371,-210.24572465194365,0.0,0.0,0.0,0.0,0.0,0.0,951.4722864623544,539.2534003898166,1490.725686852171
Ecuador,266.76626,4008.237964,14464739.0,49.4809627083915,47.7168613556041,2.19553926986963,1.097769634934815,2.817,3.009,715.7292110456161,690.2119454079996,1147.290686473596,729.9434225472753,616.3130445525895,376.90846109185026,444.7975980720425,1319.1540283944826,411.85564265296654,941.0596102179729,0.03294195541907595,0.37809441817650963,0.4110363735955856,2.277397153109776,26.13904185734078,28.416439010450553,2016.2091875155008,2076.8477437326706,4093.056931248171
Egypt,-37.93729000000002,2698.3650740000003,81121077.0,20.18358262772458,20.78660866161092,1.7034356404160924,0.681374256166437,3.574082506851597,3.7660825068515966,1637.3139604795078,1686.2320818074065,2253.862421167461,1339.518698563604,1049.6116882531326,604.5258581524831,3062.8362295420966,5201.53401532132,2405.8495478521845,2819.3478221550304,0.656986681689912,2.3821861931662895,3.0391728748562015,8.09884072039517,29.365810727171304,37.464651447566474,5851.895184373716,6350.489145786824,12202.384330160541
El Salvador,-42.75184,3460.023288,6192993.0,22.057455772826252,17.675166804954266,4.769619793165059,4.42893266508184,3.574082506851597,3.7660825068515966,136.60166919892256,109.46218429691413,348.7757351467067,267.32745059641394,162.42299651965436,120.64509189218995,-163.31238889996908,-72.55702618143758,-177.56208654813094,-76.10318377782873,0.0,0.0,0.0,0.0,0.0,0.0,488.2256362905977,412.2436174423738,900.4692537329715
Equatorial Guinea,316.87858000000006,20703.10031,700401.0,,,,,2.817,3.009,,,,,,,,,,,,,,,,,,,
