country,netexports,gdp,pop,gascon,diecon,gasprice,dieprice,spotgasprice,spotdieprice,gas,die,Agas,Adie,predictgas,predictdie,COSTgas,COSTdie,AREAgas,AREAdie,DWLgas,DWLdie,DWLtot
Czech Republic,-172.12028999999998,18910.00501,10519792.0,53.390336525629735,92.28980538507167,7.305846191117907,7.078721439062429,4.684082506851597,4.8760825068515965,561.6552350596276,970.8695563714339,1852.1328137979897,3141.4762194611194,733.3265423708871,1214.2025738903317,-1472.5272983573896,-2138.4750829619798,-1671.0118271309354,-2379.9080322466725,0.0,0.0,0.0
Denmark,80.43568999999998,56485.89444,5547683.0,84.2342253474355,134.20275354471673,7.646533319201126,7.154429689747587,3.9270000000000005,4.119,467.304779978137,744.5143343932147,1583.7220905983331,2424.477040703119,697.0154965795127,1036.9146265732538,-1738.1556993506315,-2259.920915059827,-2090.20428814257,-2638.8102789256136,0.0,0.0,0.0
Djibouti,-8.0696,,888716.0,,,6.624471934951471,4.46678679042442,4.684082506851597,4.8760825068515965,,,,,,,,,,,0.0,,
Dominica,-0.91586,6963.872346,67757.0,,,,,4.684082506851597,4.8760825068515965,,,,,,,,,,,,,
Dominican Republic,-112.74874,5195.381237,9927320.0,26.816342755787556,14.423512684337885,5.9809518041276135,5.110306921248277,4.684082506851597,4.8760825068515965,266.21441576638495,143.18682594148117,778.562982445676,381.0406002732262,308.26131672710875,147.274862290007,-345.2453022996969,-33.53785045546288,-370.7353726056225,-34.01061982260654,0.0,0.0,0.0
Ecuador,266.76626,4008.237964,14464739.0,49.4809627083915,47.7168613556041,2.19553926986963,1.097769634934815,3.9270000000000005,4.119,715.7292110456161,690.2119454079996,1147.290686473596,729.9434225472753,504.93668826158967,312.186504018494,1239.2570223326766,2085.289287797362,1028.6869633995116,1320.5062367849716,0.210570058933165,0.7647830510123902,0.9753531099455552
Egypt,-37.93729000000002,2698.3650740000003,81121077.0,20.18358262772458,20.78660866161092,1.7034356404160924,0.681374256166437,4.684082506851597,4.8760825068515965,1637.3139604795078,1686.2320818074065,2253.862421167461,1339.518698563604,892.3858613061003,517.7333641727047,4880.254725674351,7073.2516261275405,3477.375118684952,3438.8886744761194,1.4028796069893987,3.634362951651421,5.03724255864082
El Salvador,-42.75184,3460.023288,6192993.0,22.057455772826252,17.675166804954266,4.769619793165059,4.42893266508184,4.684082506851597,4.8760825068515965,136.60166919892256,109.46218429691413,348.7757351467067,267.32745059641394,138.0929607275426,103.32393305252698,-11.684536089164975,48.945998388137085,-11.74800881835018,47.53844718180212,0.0,0.001407551206334965,0.001407551206334965
Equatorial Guinea,316.87858000000006,20703.10031,700401.0,,,,,3.9270000000000005,4.119,,,,,,,,,,,,,
Eritrea,-3.15956,402.9574968,5253676.0,0.4837425077034142,1.9584142073836175,9.425677210302378,6.473055433581151,4.684082506851597,4.8760825068515965,2.5414264029012426,10.288873719390335,9.764838732408233,31.55247509917146,3.866253743305942,12.195252741590503,-12.050413971206503,-16.43105277640558,-14.612033503545314,-17.838478437066247,0.0,0.0,0.0
Estonia,-15.04929,14062.23424,1340161.0,65.18734140217754,95.11373133623891,6.662326060294051,6.662326060294051,4.684082506851597,4.8760825068515965,87.36153264088365,127.46771330130528,272.5811219242604,397.71843797220174,107.92475041052698,153.72096343684143,-172.82238876568059,-227.68838115650755,-191.25645031578605,-249.18841855655134,0.0,0.0,0.0
Ethiopia,-42.50205,320.37867259999996,82949541.0,0.582126206958877,2.391172015870102,3.9746831609708826,3.558287782202504,4.684082506851597,4.8760825068515965,48.28710167130985,198.3466211684697,110.51281654354418,424.7852697460325,43.75603144644928,164.18248359836582,34.254838340102765,261.3801310277814,32.57732890629301,236.98244365131572,0.001677509433809753,0.024397687376465655,0.026075196810275408
Fiji,-9.35685,3687.215765,860623.0,,,5.337431673303756,4.883182169192798,4.684082506851597,4.8760825068515965,,,,,,,,,,,0.0,0.0,0.0
Finland,-184.04696,43863.96693000001,5363352.0,88.43232788635811,126.45231179399318,7.873658071256605,7.381554441803067,4.684082506851597,4.8760825068515965,474.2937026339545,678.2082593649368,1635.8869536530135,2250.358813659106,647.706964908215,869.7794517096128,-1512.7956042724363,-1699.2317598911372,-1751.2839399937607,-1912.787050206401,0.0,0.0,0.0
France,-1668.4360700000002,39170.2647,65075569.0,35.875488555735956,135.84866144416384,7.230137940432748,6.73803431097921,4.684082506851597,4.8760825068515965,2334.6178309175057,8840.428941367323,7650.745367979526,27771.111911178654,3029.2075198190605,10733.72937011561,-5944.066413742955,-16460.452616640858,-6726.377506299224,-18071.408789516798,0.0,0.0,0.0
French Polynesia,-7.19047,,270764.0,,,6.435201308238571,5.905243553442454,4.684082506851597,4.8760825068515965,,,,,,,,,,,0.0,0.0,0.0
Gabon,228.34733,8767.825851,1505463.0,12.027969552448406,25.249157472329692,3.9368290356283024,3.444725406174765,3.9270000000000005,4.119,18.107663126337634,38.011672355765874,41.20503993558439,79.83801710466128,18.134842939160702,34.14559358682171,-0.17798086601406213,25.63030493830194,-0.17811435264469871,24.26481622255229,0.0,0.001365488715749649,0.001365488715749649
"Gambia, The",-3.39282,550.6879805,1728394.0,,,,,4.684082506851597,4.8760825068515965,,,,,,,,,,,,,
