ms_center,st_id,date,present,att_tot,att_per,tk,gp,cp,sgi_sch_mat,sgi_sch_hin,sgi_att_mat,sgi_att_hin,sgi_att_mat_tot,sgi_att_hin_tot,mean_attend,cal_att_mat_tot,cal_att_hin_tot,cal_att_tot,treat,strata,m_theta_mle1_z,h_theta_mle1_z,m_theta_mle2_z,h_theta_mle2_z,st_female1,ses_index,d_sch_grade4,d_sch_grade5,d_sch_grade6,d_sch_grade7,d_sch_grade8,d_sch_grade9
TK,TK353,2015-10-17,0.0,8.0,0.093023255,Orientation,Orientation,Orientation,,,0.0,0.0,2.0,2.0,0.27795526,5.0,2.0,7.0,1.0,18.0,0.44308212,0.36697832,0.09620779,0.39443073,1.0,-0.109896645,0.0,0.0,0.0,1.0,0.0,0.0
TK,TK355,2015-10-17,0.0,1.0,0.011627907,Orientation,Orientation,Orientation,,,0.0,0.0,0.0,0.0,0.27795526,0.0,0.0,,1.0,14.0,-0.47845948,-0.6195991,-0.5733898,0.42406228,1.0,-0.109896645,0.0,0.0,0.0,1.0,0.0,0.0
TK,TK357,2015-10-17,0.0,0.0,0.0,Orientation,Orientation,Orientation,,,0.0,0.0,0.0,0.0,0.27795526,0.0,0.0,,1.0,14.0,-0.5023807,-0.5013822,-0.6693791,0.47422644,1.0,-0.07407202,0.0,0.0,0.0,1.0,0.0,0.0
TK,TK361,2015-10-17,0.0,11.0,0.12790698,Orientation,Orientation,Orientation,,,0.0,0.0,3.0,3.0,0.27795526,4.0,1.0,5.0,1.0,14.0,-0.008401606,-0.17569551,0.18985923,0.23700236,1.0,-0.16027994,0.0,0.0,1.0,0.0,0.0,0.0
TK,TK362,2015-10-17,0.0,59.0,0.68604654,Orientation,Orientation,Orientation,,,0.0,0.0,15.0,20.0,0.27795526,32.0,23.0,55.0,1.0,14.0,0.648439,0.33178946,0.7921244,0.9575971,1.0,2.8247538,0.0,0.0,0.0,0.0,1.0,0.0
TK,TK363,2015-10-17,0.0,59.0,0.68604654,Orientation,Orientation,Orientation,,,0.0,0.0,19.0,19.0,0.27795526,30.0,24.0,54.0,1.0,17.0,-0.40932715,-0.57960385,,,1.0,-0.109896645,0.0,0.0,0.0,1.0,0.0,0.0
TK,TK364,2015-10-17,0.0,43.0,0.5,Orientation,Orientation,Orientation,,,0.0,0.0,14.0,11.0,0.27795526,21.0,11.0,32.0,1.0,17.0,-0.29902604,-0.26290953,-0.2709047,-0.014234291,1.0,-0.109896645,0.0,0.0,0.0,0.0,1.0,0.0
TK,TK366,2015-10-17,0.0,16.0,0.18604651,Orientation,Orientation,Orientation,,,0.0,0.0,4.0,4.0,0.27795526,7.0,4.0,11.0,1.0,16.0,0.17403953,-1.32413,,,1.0,-3.2567968,0.0,0.0,1.0,0.0,0.0,0.0
TK,TK369,2015-10-17,0.0,73.0,0.8488372,Orientation,Orientation,Orientation,,,0.0,0.0,20.0,25.0,0.27795526,35.0,25.0,60.0,1.0,15.0,-0.113357216,-1.0195113,0.47776803,0.835667,1.0,0.92924875,0.0,0.0,0.0,1.0,0.0,0.0
TK,TK371,2015-10-17,0.0,0.0,0.0,Orientation,Orientation,Orientation,,,0.0,0.0,0.0,0.0,0.27795526,0.0,0.0,,1.0,14.0,-0.054931242,0.31597266,,,1.0,4.388462,0.0,0.0,0.0,0.0,1.0,0.0
TK,TK373,2015-10-17,0.0,76.0,0.88372093,Orientation,Orientation,Orientation,,,0.0,0.0,22.0,24.0,0.27795526,39.0,30.0,69.0,1.0,14.0,-1.0752425,-0.894676,-0.5776126,-0.025894715,1.0,-1.0471894,0.0,0.0,1.0,0.0,0.0,0.0
TK,TK377,2015-10-17,0.0,27.0,0.3139535,Orientation,Orientation,Orientation,,,0.0,0.0,9.0,5.0,0.27795526,14.0,7.0,21.0,1.0,15.0,-0.4071689,-1.4724321,-0.12797806,-0.83303577,1.0,-2.0239556,0.0,0.0,0.0,1.0,0.0,0.0
TK,TK382,2015-10-17,0.0,71.0,0.8255814,Orientation,Orientation,Orientation,,,0.0,0.0,18.0,24.0,0.27795526,36.0,25.0,61.0,1.0,13.0,0.54743266,1.1769365,1.1349387,1.0247715,0.0,-4.1207676,0.0,0.0,0.0,0.0,1.0,0.0
TK,TK384,2015-10-17,0.0,40.0,0.4651163,Orientation,Orientation,Orientation,,,0.0,0.0,9.0,13.0,0.27795526,21.0,15.0,36.0,1.0,14.0,1.4855746,0.30412146,0.64622414,0.76823384,1.0,0.8858434,0.0,0.0,0.0,0.0,1.0,0.0
TK,TK385,2015-10-17,0.0,36.0,0.41860464,Orientation,Orientation,Orientation,,,0.0,0.0,9.0,9.0,0.27795526,15.0,12.0,27.0,1.0,17.0,-0.11514418,-0.28442073,,,1.0,-1.3373805,0.0,0.0,0.0,0.0,0.0,1.0
