survey,imposed,voluntary,want_share_fb,want_share_facts,see_facts,age,age_sqrd,male_raw,male,educ,income,religion_q8,q13,q14,q15,neg_image_ue,vote_2nd,second_mlp,share_interest,share_reciprocity,share_image,share_influence,gave_charity,gave_homeless,donated_blood,worked_charity,altruism,reciprocity,image
1,0,0,0,0,0,38,1444,1,1,6,1,1,2,76.0,2,3,7,0,2.0,2.0,3.0,2.0,0,0,0,0,0.0,2,2
1,0,0,0,0,0,52,2704,2,0,7,1,1,3,42.0,2,3,7,0,2.0,1.0,1.0,1.0,1,1,1,0,0.75,5,5
1,0,0,1,0,0,32,1024,1,1,1,3,1,2,322.0,1,1,1,0,,,,,0,0,0,0,0.0,2,2
1,0,0,0,0,0,34,1156,1,1,4,1,1,1,10.0,2,1,8,0,3.0,1.0,1.0,1.0,1,1,1,1,1.0,4,4
1,0,0,0,0,0,50,2500,1,1,6,2,2,1,250.0,3,3,6,0,4.0,3.0,4.0,4.0,0,0,0,0,0.0,4,2
1,0,0,0,0,0,58,3364,2,0,5,3,2,1,60.0,1,5,7,0,,,,,0,0,0,0,0.0,5,5
1,0,0,0,0,0,36,1296,1,1,4,1,1,1,240.0,2,6,7,0,4.0,2.0,3.0,3.0,1,0,1,1,0.75,5,1
1,0,0,0,0,0,38,1444,1,1,4,1,1,1,123.0,3,1,1,0,5.0,2.0,5.0,5.0,0,0,0,0,0.0,5,3
1,0,0,0,0,0,39,1521,2,0,7,1,1,2,125.0,3,1,8,0,4.0,2.0,3.0,4.0,0,0,0,1,0.25,5,5
1,0,0,0,0,0,21,441,2,0,6,1,1,3,258.0,1,1,1,0,,,,,1,0,1,1,0.75,5,3
1,0,0,0,0,0,71,5041,2,0,6,1,1,1,39.0,3,8,1,0,4.0,2.0,3.0,4.0,0,1,1,1,0.75,4,4
1,0,0,0,0,0,67,4489,2,0,3,1,1,3,4.0,2,2,8,0,2.0,2.0,2.0,4.0,0,0,0,0,0.0,4,3
1,0,0,0,0,0,45,2025,2,0,5,1,2,2,40.0,2,1,7,0,4.0,2.0,3.0,4.0,1,0,0,0,0.25,5,5
